2021-02-15 21:08:10 |Mean: -85.6 -85.9 |SD: 11.3961 12.8746 |SEmean: 3.60377 4.07131 |SEPLA: 11.9524 13.503 |INTERVAL1: -112.636 -58.5638 |INTERVAL2: -116.444 -55.3562 |Integral: 0.441935 0.437097 |Routing: 1 0
2021-02-15 21:08:21 |Mean: -87.4 -92.2 |SD: 16.8098 18.1192 |SEmean: 5.31572 5.72981 |SEPLA: 17.6302 19.0036 |INTERVAL1: -127.28 -47.5204 |INTERVAL2: -135.186 -49.2138 |Integral: 0.412903 0.335484 |Routing: 1 0
2021-02-15 21:08:31 |Mean: -86.8 -86 |SD: 13.4671 16.7257 |SEmean: 4.25868 5.28912 |SEPLA: 14.1245 17.542 |INTERVAL1: -118.75 -54.8505 |INTERVAL2: -125.68 -46.3199 |Integral: 0.422581 0.435484 |Routing: 1 0
2021-02-15 21:08:41 |Mean: -77.7 -90.5 |SD: 14.5004 10.9659 |SEmean: 4.58542 3.46772 |SEPLA: 15.2081 11.5011 |INTERVAL1: -112.101 -43.2992 |INTERVAL2: -116.516 -64.4844 |Integral: 0.569355 0.362903 |Routing: 0 1
2021-02-15 21:08:51 |Mean: -91.5 -87.8 |SD: 18.2864 16.9107 |SEmean: 5.78266 5.34765 |SEPLA: 19.1789 17.7361 |INTERVAL1: -134.883 -48.1173 |INTERVAL2: -127.919 -47.6808 |Integral: 0.346774 0.406452 |Routing: 0 1
2021-02-15 21:09:01 |Mean: -89.1 -83.9 |SD: 12.9662 10.4192 |SEmean: 4.10026 3.29483 |SEPLA: 13.599 10.9277 |INTERVAL1: -119.861 -58.339 |INTERVAL2: -108.619 -59.1815 |Integral: 0.385484 0.469355 |Routing: 0 1
2021-02-15 21:09:12 |Mean: -98.9 -93.8 |SD: 15.1492 9.84388 |SEmean: 4.79059 3.11291 |SEPLA: 15.8886 10.3243 |INTERVAL1: -134.84 -62.96 |INTERVAL2: -117.154 -70.4463 |Integral: 0.227419 0.309677 |Routing: 0 1
2021-02-15 21:09:22 |Mean: -88.4 -88.3 |SD: 15.4423 13.6205 |SEmean: 4.8833 4.30718 |SEPLA: 16.1961 14.2853 |INTERVAL1: -125.036 -51.7645 |INTERVAL2: -120.613 -55.9866 |Integral: 0.396774 0.398387 |Routing: 0 1
2021-02-15 21:09:32 |Mean: -85.3 -90.7 |SD: 13.7645 13.3777 |SEmean: 4.35271 4.23041 |SEPLA: 14.4363 14.0307 |INTERVAL1: -117.955 -52.6451 |INTERVAL2: -122.437 -58.9626 |Integral: 0.446774 0.359677 |Routing: 0 1
2021-02-15 21:09:42 |Mean: -91.2 -97.2 |SD: 12.7922 9.41352 |SEmean: 4.04526 2.97682 |SEPLA: 13.4166 9.87299 |INTERVAL1: -121.548 -60.8516 |INTERVAL2: -119.533 -74.8673 |Integral: 0.351613 0.254839 |Routing: 0 1
2021-02-15 21:09:53 |Mean: -87.6 -81.1 |SD: 14.652 18.097 |SEmean: 4.63336 5.72277 |SEPLA: 15.3671 18.9803 |INTERVAL1: -122.36 -52.8396 |INTERVAL2: -124.033 -38.1666 |Integral: 0.409677 0.514516 |Routing: 1 0
2021-02-15 21:10:03 |Mean: -87.6 -89.8 |SD: 17.3886 17.6891 |SEmean: 5.49877 5.59379 |SEPLA: 18.2373 18.5525 |INTERVAL1: -128.853 -46.3471 |INTERVAL2: -131.766 -47.8342 |Integral: 0.409677 0.374194 |Routing: 1 0
2021-02-15 21:10:13 |Mean: -89.8 -79.2 |SD: 14.9756 11.7471 |SEmean: 4.7357 3.71476 |SEPLA: 15.7065 12.3205 |INTERVAL1: -125.328 -54.2718 |INTERVAL2: -107.069 -51.3311 |Integral: 0.374194 0.545161 |Routing: 0 1
2021-02-15 21:10:23 |Mean: -83.1 -85.2 |SD: 13.4466 13.3494 |SEmean: 4.25217 4.22144 |SEPLA: 14.1029 14.0009 |INTERVAL1: -115.001 -51.1993 |INTERVAL2: -116.87 -53.5299 |Integral: 0.482258 0.448387 |Routing: Undefined Undefined
2021-02-15 21:10:34 |Mean: -80.3 -89.6 |SD: 14.9472 17.8926 |SEmean: 4.72673 5.65813 |SEPLA: 15.6768 18.7659 |INTERVAL1: -115.761 -44.8391 |INTERVAL2: -132.048 -47.1515 |Integral: 0.527419 0.377419 |Routing: 1 0
2021-02-15 21:10:44 |Mean: -80.1 -84.1 |SD: 15.4866 16.1862 |SEmean: 4.89729 5.11852 |SEPLA: 16.2425 16.9762 |INTERVAL1: -116.84 -43.3596 |INTERVAL2: -122.5 -45.6998 |Integral: 0.530645 0.466129 |Routing: 1 0
2021-02-15 21:10:54 |Mean: -90.7 -81 |SD: 8.89525 13.359 |SEmean: 2.81293 4.22448 |SEPLA: 9.32942 14.011 |INTERVAL1: -111.803 -69.5968 |INTERVAL2: -112.693 -49.3071 |Integral: 0.359677 0.516129 |Routing: 1 0
2021-02-15 21:11:04 |Mean: -88 -94.6 |SD: 14.3166 11.6984 |SEmean: 4.52731 3.69937 |SEPLA: 15.0154 12.2694 |INTERVAL1: -121.965 -54.0352 |INTERVAL2: -122.353 -66.8465 |Integral: 0.403226 0.296774 |Routing: 0 1
2021-02-15 21:11:15 |Mean: -95.4 -83.5 |SD: 12.9696 14.3148 |SEmean: 4.10134 4.52675 |SEPLA: 13.6026 15.0135 |INTERVAL1: -126.169 -64.6309 |INTERVAL2: -117.461 -49.5394 |Integral: 0.283871 0.475806 |Routing: 1 0
2021-02-15 21:11:25 |Mean: -93.2 -84 |SD: 18.2987 14.9038 |SEmean: 5.78656 4.71299 |SEPLA: 19.1918 15.6312 |INTERVAL1: -136.612 -49.7881 |INTERVAL2: -119.358 -48.6422 |Integral: 0.319355 0.467742 |Routing: 0 1
2021-02-15 21:11:35 |Mean: -87.7 -83.7 |SD: 12.8042 13.5397 |SEmean: 4.04906 4.28163 |SEPLA: 13.4292 14.2005 |INTERVAL1: -118.077 -57.3232 |INTERVAL2: -115.822 -51.5784 |Integral: 0.408065 0.472581 |Routing: 1 0
2021-02-15 21:11:45 |Mean: -94.4 -88.1 |SD: 13.216 14.4958 |SEmean: 4.17925 4.58398 |SEPLA: 13.861 15.2034 |INTERVAL1: -125.754 -63.0464 |INTERVAL2: -122.49 -53.71 |Integral: 0.3 0.401613 |Routing: 1 0
2021-02-15 21:11:55 |Mean: -84.3 -80.5 |SD: 14.3453 17.6845 |SEmean: 4.53637 5.59234 |SEPLA: 15.0454 18.5477 |INTERVAL1: -118.333 -50.2672 |INTERVAL2: -122.455 -38.5451 |Integral: 0.462903 0.524194 |Routing: 1 0
2021-02-15 21:12:06 |Mean: -91.4 -90.3 |SD: 16.5986 12.1808 |SEmean: 5.24894 3.85191 |SEPLA: 17.4088 12.7754 |INTERVAL1: -130.779 -52.0214 |INTERVAL2: -119.198 -61.4021 |Integral: 0.348387 0.366129 |Routing: 0 1
2021-02-15 21:12:16 |Mean: -96.4 -85.8 |SD: 14.6701 13.7187 |SEmean: 4.63911 4.33823 |SEPLA: 15.3862 14.3883 |INTERVAL1: -131.204 -61.5965 |INTERVAL2: -118.346 -53.2537 |Integral: 0.267742 0.43871 |Routing: 0 1
2021-02-15 21:12:26 |Mean: -85.7 -87.7 |SD: 16.728 14.077 |SEmean: 5.28984 4.45153 |SEPLA: 17.5444 14.7641 |INTERVAL1: -125.385 -46.0145 |INTERVAL2: -121.096 -54.3037 |Integral: 0.440323 0.408065 |Routing: 0 1
